year,resp_id,agency,loan_type,purpose,occupancy,amntch,amount,action,msa,state,county,tract,app_race,coapp_race,app_sex,coapp_sex,app_incch,app_inc,purchtype,denial1,denial2,denial3,editstatus,sequence,popch,pop,minpopch,minpop,minpctch,minpct,med_incch,med_inc,tct2msach,tct2msa,ownoccch,ownocc,ownocc4ch,ownocc4
2001,0000000001,1,1,1,1,00038,38,6,2190,10,001,0405.00,8,8,4,4,,0,0,,,,,0031643,00005090,5090,00001430,1430,0028.09,28.09,00038401,38401,0114.31,114.31,00001447,1447,00001719,1719
2001,0000000001,1,3,1,1,00096,96,6,2190,10,001,0405.00,8,8,4,4,,0,0,,,,,0031644,00005090,5090,00001430,1430,0028.09,28.09,00038401,38401,0114.31,114.31,00001447,1447,00001719,1719
2001,0000000001,1,1,3,1,00135,135,3,2190,10,001,0409.00,3,8,1,4,0062,62,0,3,4,,6,0031645,00002112,2112,00000277,277,0013.12,13.12,00048641,48641,0144.79,144.79,00000361,361,00000494,494
2001,0000000001,1,1,3,1,00094,94,3,2190,10,001,0410.00,5,8,2,4,0033,33,0,3,1,,6,0031646,00004622,4622,00001628,1628,0035.22,35.22,00027115,27115,0080.71,80.71,00000981,981,00001604,1604
2001,0000000001,1,1,3,1,00060,60,3,2190,10,001,0413.00,3,8,1,4,0045,45,0,3,,,6,0031647,00002191,2191,00000840,840,0038.34,38.34,00027986,27986,0083.31,83.31,00000361,361,00000844,844
2001,0000000001,1,1,2,1,00015,15,2,2190,10,001,0416.00,5,5,2,1,0055,55,0,,,,6,0031648,00002495,2495,00000312,312,0012.51,12.51,00045307,45307,0134.87,134.87,00000723,723,00000915,915
2001,0000000001,1,1,2,2,00005,5,3,2190,10,001,0417.00,3,3,1,2,0026,26,0,3,,,6,0031649,00006193,6193,00001477,1477,0023.85,23.85,00035703,35703,0106.28,106.28,00001652,1652,00002221,2221
2001,0000000001,1,1,3,2,00150,150,1,2190,10,001,0419.00,7,7,3,3,0130,130,0,,,,6,0031650,00004293,4293,00000325,325,0007.57,7.57,00030456,30456,0090.66,90.66,00001295,1295,00001530,1530
2001,0000000001,1,1,3,1,00036,36,3,2190,10,001,0419.00,5,5,1,2,0049,49,0,3,4,1,6,0031651,00004293,4293,00000325,325,0007.57,7.57,00030456,30456,0090.66,90.66,00001295,1295,00001530,1530
2001,0000000001,1,1,3,1,00029,29,1,2190,10,001,0422.00,5,5,1,2,0055,55,0,,,,6,0031652,00008885,8885,00001955,1955,0022.00,22,00031808,31808,0094.68,94.68,00002341,2341,00003289,3289
2001,0000000001,1,1,3,1,00140,140,3,2190,10,001,0428.00,3,3,1,2,0069,69,0,3,,,6,0031653,00004844,4844,00000574,574,0011.85,11.85,00033658,33658,0100.19,100.19,00001471,1471,00001851,1851
2001,0000000001,1,1,1,2,00152,152,6,2190,10,001,0428.00,8,8,4,4,,0,0,,,,,0031654,00004844,4844,00000574,574,0011.85,11.85,00033658,33658,0100.19,100.19,00001471,1471,00001851,1851
2001,0000000001,1,1,3,1,00084,84,3,2190,10,001,0429.00,5,8,1,4,0050,50,0,3,1,,6,0031655,00002885,2885,00000528,528,0018.30,18.3,00031312,31312,0093.21,93.21,00000914,914,00001096,1096
2001,0000000001,1,1,3,1,00034,34,1,9160,10,003,0003.00,5,8,2,4,0014,14,0,,,,6,0105935,00003425,3425,00002393,2393,0069.87,69.87,00033516,33516,0075.60,75.6,00000897,897,00001179,1179
2001,0000000001,1,1,3,1,00107,107,3,9160,10,003,0003.00,5,8,1,4,0046,46,0,3,4,1,6,0105936,00003425,3425,00002393,2393,0069.87,69.87,00033516,33516,0075.60,75.6,00000897,897,00001179,1179
2001,0000000001,1,1,2,2,00035,35,3,9160,10,003,0005.00,5,8,1,4,0125,125,0,4,,,6,0105937,00003760,3760,00003136,3136,0083.40,83.4,00030023,30023,0067.72,67.72,00000769,769,00001368,1368
2001,0000000001,1,1,4,3,00353,353,4,9160,10,003,0005.00,7,7,3,3,,0,0,,,,6,0105938,00003760,3760,00003136,3136,0083.40,83.4,00030023,30023,0067.72,67.72,00000769,769,00001368,1368
2001,0000000001,1,1,3,1,00115,115,2,9160,10,003,0006.02,5,5,2,1,0085,85,0,,,,6,0105939,00003629,3629,00003303,3303,0091.02,91.02,00025810,25810,0058.22,58.22,00000781,781,00001026,1026
2001,0000000001,1,1,3,2,00312,312,3,9160,10,003,0006.02,7,8,3,4,0110,110,0,1,,,6,0105940,00003629,3629,00003303,3303,0091.02,91.02,00025810,25810,0058.22,58.22,00000781,781,00001026,1026
2001,0000000001,1,1,1,1,00038,38,6,9160,10,003,0006.02,8,8,4,4,,0,0,,,,,0105941,00003629,3629,00003303,3303,0091.02,91.02,00025810,25810,0058.22,58.22,00000781,781,00001026,1026
2001,0000000001,1,1,1,1,00068,68,6,9160,10,003,0006.02,8,8,4,4,,0,0,,,,,0105942,00003629,3629,00003303,3303,0091.02,91.02,00025810,25810,0058.22,58.22,00000781,781,00001026,1026
2001,0000000001,1,1,1,2,00126,126,1,9160,10,003,0009.00,8,8,4,4,,0,0,,,,6,0105943,00002574,2574,00002426,2426,0094.25,94.25,00020104,20104,0045.35,45.35,00000411,411,00001021,1021
2001,0000000001,1,1,1,2,00050,50,1,9160,10,003,0009.00,3,8,1,4,0069,69,0,,,,6,0105944,00002574,2574,00002426,2426,0094.25,94.25,00020104,20104,0045.35,45.35,00000411,411,00001021,1021
2001,0000000001,1,1,4,3,00359,359,3,9160,10,003,0011.00,8,8,4,4,,0,0,5,,,6,0105945,00003105,3105,00000216,216,0006.96,6.96,00050803,50803,0114.60,114.6,00000680,680,00000841,841
2001,0000000001,1,1,3,1,00109,109,6,9160,10,003,0012.00,8,8,4,4,,0,0,,,,,0105946,00001683,1683,00000114,114,0006.77,6.77,00030724,30724,0069.30,69.3,00000477,477,00000766,766
