symbol,name,ask ($),bid ($),52 week low ($),52 week high ($),market cap (billion $),p/e ratio,average daily volume
"XYL","Xylem Inc. Common",26.82,24.00,22.67,28.28,4.599,13.85,1647910
"JBL","Jabil Circuit, In",19.48,2.04,13.94,23.09,4.039,11.53,4535090
"JEC","Jacobs Engineerin",41.75,24.74,30.74,55.73,5.139,15.48,1613070
"CBE","Cooper Industries",54.12,51.37,41.15,70.00,8.454,10.98,1970580
"JDSU","JDS Uniphase Corp",11.50,0.00,8.59,29.12,2.246,35.38,6693070
"JNJ","Johnson & Johnson",65.36,61.53,57.50,68.05,177.5,15.74,11716000
"JCI","Johnson Controls,",29.88,25.74,24.29,42.92,20.330,12.50,5827700
"JOY","Joy Global Inc. C",79.55,74.65,57.48,103.44,7.948,13.40,2324240
"JPM","JP Morgan Chase &",33.00,29.55,27.85,48.36,122.7,6.86,46486700
"JNPR","Juniper Networks,",20.34,17.38,16.67,45.01,10.231,20.80,10742000
"K","Kellogg Company C",51.76,48.40,48.10,57.70,17.958,15.24,2306140
"KEY","KeyCorp Common St",7.58,6.93,5.59,9.77,7.185,7.53,15855200
"KMB","Kimberly-Clark Co",74.00,71.00,61.00,73.23,28.789,17.34,2794640
"KIM","Kimco Realty Corp",16.87,16.01,13.55,20.31,6.715,65.24,4274560
"KLAC","KLA-Tencor Corpor",48.17,46.01,33.20,51.83,7.818,9.80,3462770
"KSS","Kohl's Corporatio",50.50,48.00,42.14,57.39,12.527,11.54,4710520
"KFT","Kraft Foods Inc. ",37.50,34.86,30.21,37.53,65.988,20.14,9112740
"KR","Kroger Company (T",25.45,24.48,21.09,25.85,14.070,12.37,5508170
"LLL","L-3 Communication",67.47,63.00,58.30,88.55,6.592,7.54,873794
"LH","Laboratory Corpor",90.00,75.00,74.57,100.94,8.393,16.85,941800
"LM","Legg Mason, Inc. ",25.01,22.89,22.61,37.82,3.362,14.60,2436520
"LEG","Leggett & Platt, ",24.09,20.90,17.80,26.95,3.200,19.09,1778970
"LEN","Lennar Corporatio",20.50,19.91,12.14,21.54,3.736,39.76,6168230
"LUK","Leucadia National",22.85,21.00,20.19,39.14,5.515,3.51,1634230
"LXK","Lexmark Internati",33.20,29.59,25.87,40.54,2.453,7.78,1515610
"LIFE","Life Technologies",40.20,37.50,35.30,57.25,7.039,20.91,2054910
"LLY","Eli Lilly and Com",46.24,19.22,33.46,41.57,46.301,9.83,8779600
"LTD","Limited Brands, I",44.00,38.37,28.05,45.45,11.632,13.25,3427770
"LNC","Lincoln National ",23.46,1.00,13.75,32.68,5.641,5.95,7294470
"LLTC","Linear Technology",31.15,28.64,25.41,36.14,6.737,12.52,3107470
"LMT","Lockheed Martin C",79.99,75.00,66.36,82.43,25.585,9.18,2595460
"L","Loews Corporation",38.59,36.44,32.90,45.31,14.966,12.19,1963340
"LO","Lorillard, Inc Co",114.04,111.51,72.40,120.00,15.189,14.96,1682160
"LOW","Lowe's Companies,",25.98,22.50,18.07,27.45,32.516,18.84,17171800
"LSI","LSI Corporation C",6.00,5.69,4.75,7.74,3.246,10.99,8985530
"MTB","M&T Bank Corporat",77.22,72.66,66.40,91.05,9.526,10.86,1182010
"M","Macy's Inc Common",33.85,32.02,21.69,33.26,13.451,11.67,8474610
"MRO","Marathon Oil Corp",28.37,28.02,19.13,54.33,19.803,6.33,7728940
"MAR","Marriot Internati",29.25,28.25,25.49,42.78,9.715,47.09,4267370
"MMC","Marsh & McLennan ",31.97,30.17,25.29,31.93,16.742,18.38,3447240
"ACN","Accenture plc. Cl",54.86,51.90,47.40,63.66,33.359,15.97,4242710
"MAS","Masco Corporation",10.29,9.56,6.60,15.03,3.585,,5569630
"ANR","Alpha Natural Res",20.18,19.90,15.49,68.05,4.492,40.82,10163000
"MA","Mastercard Incorp",375.00,372.51,216.74,384.99,47.490,21.01,1138340
"MAT","Mattel, Inc.",28.97,0.00,22.70,29.40,9.479,13.74,3529130
"MKC","McCormick & Compa",51.37,48.50,43.36,51.26,6.660,17.70,714534
"MCD","McDonald's Corpor",99.54,99.22,72.14,99.50,101.5,19.38,6171960
"MHP","McGraw-Hill Compa",44.58,42.04,34.95,46.99,12.810,15.75,2142080
"MCK","McKesson Corporat",80.19,76.01,66.61,87.32,19.114,17.33,1784490
"MJN","Mead Johnson Nutr",79.29,72.74,55.12,76.91,15.569,29.29,1254230
"MWV","Meadwestvaco Corp",30.00,28.36,22.75,34.51,5.023,15.93,1351270
"MHS","MedcoHealth Solut",56.72,55.63,44.60,66.38,21.532,16.16,3379950
"MDT","Medtronic Inc. Co",37.00,35.27,30.18,43.33,38.910,11.41,6427500
"WFR","MEMC Electronic M",3.90,3.79,3.65,15.04,0.8735,,8556440
"MRK","Merck & Company, ",37.48,37.32,29.47,37.65,113.8,27.10,17999000
"MET","MetLife, Inc. Com",56.94,27.70,25.61,48.72,32.163,5.65,12201300
"PCS","MetroPCS Communic",8.54,8.30,7.51,18.79,3.014,13.55,4962200
"MCHP","Microchip Technol",36.38,32.30,29.30,41.50,6.776,17.73,2438070
"MU","Micron Technology",5.54,5.45,3.97,11.95,5.471,34.06,33813400
"MSFT","Microsoft Corpora",26.18,24.75,23.65,29.46,216.7,9.46,55583200
"MOLX","Molex Incorporate",24.24,22.23,18.50,28.51,4.089,13.46,1156990
"TAP","Molson Coors Brew",43.95,41.69,37.99,51.11,7.860,13.17,1276220
"MON","Monsanto Company ",80.00,68.44,58.89,78.71,37.864,23.71,4583560
"MWW","Monster Worldwide",7.86,7.15,6.34,25.90,0.9625,22.84,4008200
"MCO","Moody's Corporati",34.20,32.29,26.10,41.93,7.490,12.73,2633910
"MS","Morgan Stanley Co",14.95,14.81,11.58,31.04,28.738,9.70,38046100
"MOS","Mosaic Company (T",63.22,47.00,44.86,89.24,22.314,8.16,7468590
"MMI","Motorola Mobility",39.15,38.55,20.77,39.20,11.575,,3593830
"MSI","Motorola Solution",46.98,43.76,36.3685,47.91,15.105,12.57,2595980
"MUR","Murphy Oil Corpor",56.33,54.35,40.41,78.16,10.586,8.89,1965460
"MYL","Mylan Inc.",22.00,19.20,15.49,25.46,9.063,22.38,6646600
"NBR","Nabors Industries",17.90,17.20,11.05,32.47,5.127,12.80,8561480
"NDAQ","The NASDAQ OMX Gr",24.56,23.55,20.32,29.71,4.318,10.18,2378270
"NOV","National Oilwell ",67.98,65.27,47.97,86.71,28.542,15.31,5438080
"NTAP","NetApp, Inc.",36.10,34.40,33.00,61.02,12.630,22.02,7266470
"NFLX","Netflix, Inc.",72.40,70.89,62.37,304.79,3.726,16.23,9066510
"NWL","Newell Rubbermaid",16.00,14.92,10.87,20.38,4.571,37.86,3934220
"NFX","Newfield Explorat",38.26,34.00,34.42,77.93,4.910,10.29,3007780
"NEM","Newmont Mining Co",64.00,62.65,50.05,72.42,31.114,14.26,6574080
"NWSA","News Corporation",17.44,17.28,13.38,18.35,43.859,16.85,21922500
"NEE","NextEra Energy, I",59.95,59.43,49.00,59.92,25.217,16.14,2210710
"GAS","AGL Resources, In",43.00,35.11,34.08,43.69,3.291,16.14,1000000
"NKE","Nike, Inc. Common",96.95,96.56,69.43,98.25,44.674,20.33,2890920
"NI","NiSource Inc Comm",26.94,22.55,17.40,23.23,6.525,21.01,3570660
"NE","Noble Corporation",31.98,31.55,27.33,46.72,7.977,23.59,4632510
"NBL","Noble Energy Inc.",96.65,87.00,65.91,101.27,16.737,20.92,1757860
"JWN","Nordstrom, Inc. C",51.70,49.00,37.28,53.35,10.373,15.85,2892320
"NSC","Norfolk Southern ",72.00,71.02,57.57,78.40,24.058,13.84,2893600
"NTRS","Northern Trust Co",40.00,38.07,33.20,56.86,9.548,15.35,2369280
"NOC","Northrop Grumman ",57.10,55.08,49.20,72.50,14.919,8.45,2336570
